",",Категория (такие же как во вкладке Категории),Платформа,HLTB часы,Кто добавил,Дополнительно (Если указан челлендж - при его прохождении человек получает Хорошее колесо),Кто прошел - Отзыв
Battlefleet Gothic: Armada 2,Джокерге,PC,,Abaddon,,
Little Nightmares 2,Cozy,PC,,Abaddon,,
Ender Lilies 1,Экшн,PC,,Abaddon,,
Ender Lilies 2,Экшн,PC,,Abaddon,,
Blasphemous 1,Экшн,PC,,Abaddon,,
Blasphemous 2,Экшн,PC,,Abaddon,,
Amnesia: A Machine for Pigs,Cozy,PC,,Abaddon,,
"Warhammer 40,000: Mechanicus",Экшн,PC,,Abaddon,,
Home Sweet Home,Cozy,PC,,Abaddon,,
Stygian: Reign of the Old Ones,RPG,PC,,Abaddon,,
The evil within 1,Стрелялка,PC,,Abaddon,,
The evil within 2 ,Стрелялка,PC,,Abaddon,,
Resident evil 7,Стрелялка,PC,,Abaddon,,
"Warhammer 40,000: Inquisitor - Martyr",Экшн,PC,,Abaddon,,
